#  energy  83_YbZnO__5e14__angle=0_deg__O-edge__Mon_SR_Io.dat  84_YbZnO__5e14__angle=45_deg__O-edge__Mon_SR_Io.dat  85_YbZnO__5e14__angle=75_deg__O-edge__Mon_SR_Io.dat
  510.00060      -0.11020831      -0.97097033E-01  -0.83362892E-01
  511.00030      -0.96250206E-01  -0.83628526E-01  -0.70520387E-01
  512.00020      -0.79234863E-01  -0.67218158E-01  -0.54639824E-01
  512.99980      -0.18237845E-01  -0.33599964E-02   0.73769149E-02
  513.99980      -0.26142665E-01   0.43129731E-02   0.43118965E-01
  515.00030      -0.36811369E-01  -0.47464436E-01  -0.49069774E-01
  515.99950      -0.42753232E-01  -0.40434131E-01  -0.28809018E-01
  517.00080      -0.68918753E-01  -0.62316148E-01  -0.48701784E-01
  518.00080      -0.72382274E-01  -0.67491348E-01  -0.56862085E-01
  519.00040      -0.36091604E-01  -0.35453949E-01  -0.21143605E-01
  519.99940       0.44931237E-02   0.49289042E-03   0.23632562E-02
  520.99970      -0.19498589E-02  -0.40071196E-02   0.83749207E-03
  522.00040      -0.95806716E-02  -0.10823407E-01  -0.11859985E-02
  523.00070       0.70374059E-02   0.13464528E-01   0.16848350E-01
  523.99950       0.50869406E-02   0.18300198E-02   0.17822438E-01
  524.99960       0.58366056E-02   0.12933653E-01   0.24293123E-01
  526.00010       0.11683685E-01  -0.37064437E-02   0.71365558E-02
  526.10050       0.13175028E-01  -0.51662266E-03  -0.11833816E-02
  526.20010       0.12094742E-01  -0.20756596E-02  -0.35227436E-02
  526.29990       0.13556855E-01  -0.26848745E-02  -0.61304472E-02
  526.40020       0.14097850E-01  -0.34365852E-02  -0.56937660E-02
  526.50080       0.16121045E-01  -0.14703830E-02  -0.71166767E-02
  526.60040       0.15189376E-01  -0.22586673E-02  -0.76695912E-02
  526.70010       0.18329185E-01  -0.19063046E-02  -0.78197375E-02
  526.79980       0.20045273E-01  -0.21960707E-02  -0.59334282E-02
  526.89950       0.21339760E-01  -0.93568884E-04  -0.52240335E-02
  527.00000       0.25430467E-01   0.54773093E-02  -0.84341258E-03
  527.09980       0.26188668E-01   0.84122694E-02   0.99641070E-04
  527.20030       0.30776118E-01   0.12424621E-01   0.40659694E-02
  527.30010       0.32640727E-01   0.15134101E-01   0.66661645E-02
  527.40080       0.35684277E-01   0.18982693E-01   0.12058848E-01
  527.49960       0.36671570E-01   0.18487573E-01   0.12222032E-01
  527.60030       0.38559629E-01   0.19390860E-01   0.16160351E-01
  527.70000       0.39536967E-01   0.21562819E-01   0.18452818E-01
  527.79990       0.41076706E-01   0.22371031E-01   0.19612877E-01
  527.89970       0.41358718E-01   0.25115363E-01   0.21695986E-01
  528.00050       0.40128111E-01   0.26017092E-01   0.23164600E-01
  528.10030       0.37474706E-01   0.27032871E-01   0.20238478E-01
  528.20010       0.37059556E-01   0.24842212E-01   0.20750078E-01
  528.29990       0.34738758E-01   0.23349739E-01   0.19624727E-01
  528.39980       0.32609076E-01   0.22439402E-01   0.20968118E-01
  528.49970       0.31896160E-01   0.19674597E-01   0.17888726E-01
  528.60040       0.28732511E-01   0.17263234E-01   0.18509806E-01
  528.70040       0.27996260E-01   0.13456604E-01   0.17620773E-01
  528.80040       0.25779109E-01   0.12155633E-01   0.17488988E-01
  528.89940       0.22816074E-01   0.11340674E-01   0.15642687E-01
  529.00020       0.20609719E-01   0.11714540E-01   0.14143683E-01
  529.10020       0.20129952E-01   0.11451823E-01   0.14574149E-01
  529.20010       0.20682516E-01   0.92003896E-02   0.13535959E-01
  529.30020       0.22853770E-01   0.11455620E-01   0.14629718E-01
  529.40010       0.21781487E-01   0.12328439E-01   0.14887207E-01
  529.50000       0.23208105E-01   0.14419142E-01   0.14905641E-01
  529.60030       0.24792867E-01   0.16545534E-01   0.16696553E-01
  529.70020       0.26139447E-01   0.18721279E-01   0.17800894E-01
  529.80030       0.27969433E-01   0.19203743E-01   0.20639718E-01
  529.90030       0.31756498E-01   0.20679481E-01   0.21845310E-01
  530.00040       0.32039167E-01   0.25311695E-01   0.25456041E-01
  530.10050       0.36402063E-01   0.30094629E-01   0.30473683E-01
  530.20060       0.41927526E-01   0.37083584E-01   0.33134122E-01
  530.29970       0.49575012E-01   0.43630191E-01   0.41003055E-01
  530.39990       0.62426408E-01   0.53943698E-01   0.52093172E-01
  530.50090       0.75144734E-01   0.67616677E-01   0.64818404E-01
  530.60010       0.93364643E-01   0.85020100E-01   0.81246172E-01
  530.70030       0.11427011       0.10666165       0.99382319E-01
  530.80040       0.13615456       0.12794295       0.12145403
  530.89970       0.16183115       0.15410744       0.14499973
  531.00000       0.19114854       0.18135869       0.16816451
  531.10010       0.22179696       0.21104106       0.19718301
  531.20030       0.25724970       0.24664619       0.22506790
  531.29970       0.29747628       0.28438291       0.26130789
  531.39990       0.33768040       0.32620674       0.29613137
  531.50010       0.38182227       0.37196279       0.33739728
  531.60040       0.42929697       0.42019027       0.38210885
  531.69990       0.47616265       0.47157596       0.43068115
  531.80020       0.53410395       0.52687350       0.48687608
  531.89950       0.59453088       0.58677336       0.54212415
  531.99990       0.66194423       0.65508215       0.60840441
  532.10030       0.73444825       0.72538498       0.67869632
  532.19970       0.81584901       0.81000170       0.75143722
  532.29990       0.90049227       0.89700507       0.84090938
  532.40040       0.99393331       0.99384021       0.93165678
  532.49980        1.0913460        1.0881902        1.0258463
  532.60010        1.1828747        1.1802821        1.1209811
  532.70070        1.2665694        1.2530882        1.1987336
  532.80020        1.3357801        1.3260737        1.2686994
  532.90060        1.3893136        1.3781834        1.3201206
  533.00020        1.4281700        1.4235573        1.3579826
  533.10060        1.4587124        1.4516427        1.3837306
  533.20010        1.4769110        1.4708667        1.4003031
  533.29980        1.4898142        1.4842105        1.4095418
  533.40030        1.5005650        1.5003866        1.4205490
  533.49980        1.5149922        1.5169532        1.4293052
  533.60030        1.5298611        1.5360082        1.4437139
  533.69990        1.5484912        1.5602919        1.4560556
  533.80050        1.5678235        1.5868416        1.4765906
  533.90010        1.5916068        1.6121996        1.4974197
  534.00070        1.6160531        1.6407337        1.5238659
  534.10040        1.6416121        1.6653037        1.5499062
  534.20010        1.6666677        1.6933183        1.5776360
  534.29980        1.6904675        1.7207360        1.6072655
  534.40030        1.7123909        1.7438960        1.6304858
  534.50010        1.7363996        1.7652248        1.6569659
  534.59990        1.7572680        1.7861440        1.6787585
  534.70050        1.7765252        1.8042334        1.7000404
  534.80040        1.7977726        1.8260707        1.7138992
  534.90000        1.8192292        1.8451172        1.7316854
  534.99990        1.8426400        1.8654410        1.7525816
  535.10060        1.8671946        1.8892604        1.7714180
  535.20030        1.8920364        1.9145528        1.7950211
  535.29930        1.9150416        1.9394814        1.8181470
  535.40010        1.9384316        1.9667441        1.8454522
  535.49990        1.9608677        1.9930019        1.8723113
  535.59970        1.9828462        2.0167801        1.9003658
  535.70060        2.0044145        2.0444199        1.9240648
  535.80040        2.0231094        2.0646811        1.9462616
  535.90030        2.0457696        2.0878992        1.9698654
  536.00030        2.0704941        2.1108537        1.9922075
  536.10020        2.0975106        2.1340802        2.0113037
  536.19990        2.1291379        2.1581555        2.0316403
  536.29990        2.1631831        2.1843151        2.0499863
  536.40000        2.2051256        2.2121830        2.0664545
  536.50080        2.2560848        2.2389650        2.0804833
  536.59990        2.3136409        2.2726834        2.0899780
  536.70080        2.3933494        2.3113561        2.0952131
  536.79990        2.4901602        2.3604058        2.0966463
  536.90080        2.6140633        2.4180114        2.0940415
