energy	ZnO-0deg	ZnO-45deg	ZnO-75deg
510.0006	2.07783202	2.08348867	2.08821327
511.0003	2.09228864	2.10600337	2.10838753
512.0002	2.11502083	2.13022868	2.12989297
512.9998	2.201209822	2.213275444	2.208996404
513.9998	2.184020286	2.232568149	2.2567585179
515.0003	2.177482204	2.16720264	2.152907943
515.9995	2.172551968	2.179923365	2.18407326
517.0008	2.13576411	2.150983113	2.162624159
518.0008	2.13348355	2.14671062	2.159929942
519.0004	2.183943409	2.195166388	2.205079525
519.9994	2.23871037	2.2402255249	2.235747382
520.9997	2.231376455	2.235951643	2.239939332
522.0004	2.221083104	2.228570145	2.239433249
523.0007	2.2455417427	2.2554737447	2.264104287
523.9995	2.2417792314	2.2535822268	2.263807449
524.9996	2.2420866656	2.2595407528	2.272996061
526.0001	2.238694913	2.2410155094	2.24900085347
526.1005	2.2407078524	2.239153152	2.244124175
526.2001	2.2441394028	2.238024857	2.240249258
526.2999	2.244488897	2.237379177	2.236706794
526.4002	2.2462559307	2.236183163	2.23432799
526.5008	2.2477752589	2.23663031	2.23444554
526.6004	2.24929908546	2.238543303	2.235346669
526.7001	2.25094564022	2.2430689819	2.236965951
526.7998	2.2532664325	2.2457677729	2.236587329
526.8995	2.253738531	2.2471327894	2.2408709405
527	2.2585861627	2.248676432	2.2429872318
527.0998	2.260478965	2.2538781048	2.2467708729
527.2003	2.266558718	2.263278828	2.2485064151
527.3001	2.269314107	2.266526682	2.2519573007
527.4008	2.270075833	2.26904001	2.2554047685
527.4996	2.273205938	2.271870913	2.2578602711
527.6003	2.276080457	2.273596468	2.262306919
527.7	2.277480997	2.274230628	2.262760643
527.7999	2.279373349	2.272305613	2.263495627
527.8997	2.278184653	2.268795442	2.266946969
528.0005	2.276982247	2.272589697	2.26606458
528.1003	2.274930964	2.272126858	2.265518743
528.2001	2.272140271	2.269836626	2.264473774
528.2999	2.26922606	2.267181219	2.261763655
528.3998	2.265818687	2.265986556	2.262173654
528.4997	2.261794741	2.262352013	2.2589635657
528.6004	2.2599919072	2.260240448	2.2577483433
528.7004	2.2554744582	2.2583144656	2.2568689918
528.8004	2.25046361469	2.2525508593	2.2546572473
528.8994	2.2470599487	2.25044717828	2.2525059784
529.0002	2.2413060971	2.2439490058	2.250014661355
529.1002	2.237158523	2.2414221197	2.2473033265
529.2001	2.234472475	2.239313761	2.2460911422
529.3002	2.229954235	2.235377083	2.2435458054
529.4001	2.226053467	2.233269228	2.2425004559
529.5	2.222768589	2.230430013	2.2405208315
529.6003	2.218003094	2.227406104	2.239039735
529.7002	2.216197717	2.223216996	2.2403259595
529.8003	2.215005625	2.223301286	2.236614607
529.9003	2.214678958	2.222471839	2.235402043
530.0004	2.214721717	2.222921304	2.232357116
530.1005	2.214641297	2.226660881	2.237851846
530.2006	2.219245396	2.23186217	2.2418482618
530.2997	2.226319601	2.2408462851	2.251465095
530.3999	2.239911833	2.2529930129	2.2594126022
530.5009	2.25782671	2.272629949	2.274352249
530.6001	2.280311024	2.291361034	2.292796321
530.7003	2.307352181	2.31721572	2.312139331
530.8004	2.337599145	2.35312354	2.338312893
530.8997	2.37253457	2.38952869	2.36591924
531	2.41165457	2.42909288	2.39785219
531.1001	2.45176635	2.47432453	2.43444996
531.2003	2.50186397	2.51937288	2.47287932
531.2997	2.55566361	2.57667168	2.51737218
531.3999	2.61340543	2.63707354	2.56302984
531.5001	2.6771881	2.70072875	2.61578643
531.6004	2.74357924	2.76734872	2.67354038
531.6999	2.81439644	2.83616547	2.72546683
531.8002	2.89014125	2.91539838	2.7860524
531.8995	2.96354848	2.98951741	2.84594837
531.9999	3.04471814	3.07533007	2.9117004
532.1003	3.127614	3.15893808	2.97545362
532.1997	3.21906721	3.24494275	3.04087625
532.2999	3.30764	3.3333201	3.11012755
532.4004	3.4089115	3.4248039	3.17654563
532.4998	3.4969956	3.5150129	3.24482959
532.6001	3.587662	3.604852	3.3092533
532.7007	3.6753721	3.6882893	3.3688445
532.8002	3.7516907	3.7629635	3.4277739
532.9006	3.824112	3.8363537	3.4825345
533.0002	3.8867987	3.9024349	3.5318008
533.1006	3.9460287	3.9612003	3.5764215
533.2001	3.9982337	4.0179587	3.6196931
533.2998	4.0462443	4.0709143	3.6596318
533.4003	4.0943435	4.1199923	3.7015672
533.4998	4.1390282	4.17584	3.7391742
533.6003	4.1809957	4.2174226	3.7746117
533.6999	4.2233392	4.2626661	3.8095504
533.8005	4.2603724	4.3071732	3.8408235
533.9001	4.2979082	4.3464203	3.8697684
534.0007	4.3323379	4.3825197	3.8970435
534.1004	4.3632128	4.4125901	3.9213226
534.2001	4.3940877	4.4430256	3.9446025
534.2998	4.4176845	4.4710848	3.9654476
534.4003	4.4398003	4.4949354	3.9817275
534.5001	4.4615507	4.5126185	3.9966776
534.5999	4.4792133	4.5308054	4.0061291
534.7005	4.4973808	4.5482571	4.0184096
534.8004	4.5156776	4.5609578	4.0305268
534.9	4.5373061	4.580974	4.0420217
534.9999	4.5581928	4.6002574	4.0554722
535.1006	4.5784583	4.6223371	4.0699198
535.2003	4.6039079	4.6487532	4.0863701
535.2993	4.6224544	4.6720643	4.1048231
535.4001	4.641242	4.695916	4.1211028
535.4999	4.6581847	4.7152004	4.1394001
535.5997	4.6708077	4.7344853	4.1533515
535.7006	4.6840432	4.7481574	4.1669656
535.8004	4.7004571	4.7608606	4.1759179
535.9003	4.7199891	4.7748427	4.1857031
536.0003	4.7380399	4.7884591	4.1926554
536.1002	4.7591756	4.803173	4.1971791
536.1999	4.786478	4.8200819	4.2002999
536.2999	4.8174778	4.8385459	4.2079191
536.4	4.8573658	4.8580142	4.2062056
536.5008	4.9111857	4.8791249	4.2043231
536.5999	4.9756182	4.9068272	4.1997805
536.7008	5.0692778	4.9471381	4.1879579
536.7999	5.1845272	4.9920308	4.1762492
536.9008	5.3445459	5.0515827	4.1585344
537	5.5214078	5.1244551	4.1396596
537.1	5.7400306	5.2088482	4.1274473
537.2	5.9432571	5.2999528	4.121178
537.3002	6.1224307	5.3789931	4.1284402
537.4003	6.2299363	5.4276763	4.1410026
537.5004	6.2480132	5.4347748	4.1520654
537.6005	6.1683633	5.3794005	4.1497951
537.6996	6.0054751	5.2795856	4.1266967
537.7997	5.7677069	5.1245358	4.082262
537.8999	5.4828133	4.9365642	4.0202105
538.0001	5.1940981	4.7456692	3.9517726
538.1001	4.9006954	4.5518961	3.8728355
538.2004	4.6260071	4.3670253	3.7993977
538.2996	4.381572	4.206851	3.733964
538.4007	4.1552608	4.062762	3.6725224
538.5	3.9678147	3.9402633	3.6219233
538.5994	3.7833334	3.8296522	3.5743204
