# XDI/1.0 Demeter/0.9.26
# Demeter.output_filetype: multicolumn normalized mu(E)
# Element.symbol: O
# Element.edge: K
# Column.1: energy eV
# Column.2: 69_ZnO__ref__angle=0_deg__O-edge__Mon_SR_Io.dat
# Column.3: 70_ZnO__ref__angle=45_deg__O-edge__Mon_SR_Io.dat
# Column.4: 71_ZnO__ref__angle=75_deg__O-edge__Mon_SR_Io.dat
#------------------------
#  energy  69_ZnO__ref__angle=0_deg__O-edge__Mon_SR_Io.dat  70_ZnO__ref__angle=45_deg__O-edge__Mon_SR_Io.dat  71_ZnO__ref__angle=75_deg__O-edge__Mon_SR_Io.dat
  510.00060      -0.11394700      -0.11576649      -0.16485621
  511.00030      -0.10355739      -0.98329110E-01  -0.14496667
  512.00020      -0.86001486E-01  -0.79457520E-01  -0.12373969
  512.99980      -0.13442671E-01  -0.93378578E-02  -0.42859915E-01
  513.99980      -0.30454769E-01   0.50435818E-02   0.51165981E-02
  515.00030      -0.38060775E-01  -0.53421381E-01  -0.10216035
  515.99950      -0.44208038E-01  -0.44431788E-01  -0.70971459E-01
  517.00080      -0.77035298E-01  -0.70727397E-01  -0.92954232E-01
  518.00080      -0.81001669E-01  -0.76475259E-01  -0.96562572E-01
  519.00040      -0.39405359E-01  -0.36410715E-01  -0.50672943E-01
  519.99940       0.52879535E-02   0.24616412E-03  -0.19957519E-01
  520.99970      -0.20845342E-02  -0.45733451E-02  -0.15500254E-01
  522.00040      -0.11696074E-01  -0.11777705E-01  -0.15512417E-01
  523.00070       0.84926542E-02   0.10575263E-01   0.10474977E-01
  523.99950       0.50361496E-02   0.86777869E-02   0.11471412E-01
  524.99960       0.53367498E-02   0.13715732E-01   0.22329160E-01
  526.00010       0.36538151E-02  -0.55555309E-03   0.16191866E-02
  526.10050       0.55918584E-02  -0.18292826E-02  -0.27121710E-02
  526.20010       0.83291449E-02  -0.28780233E-02  -0.65098380E-02
  526.29990       0.88584632E-02  -0.31655153E-02  -0.95521257E-02
  526.40020       0.10778291E-01  -0.36913132E-02  -0.11180699E-01
  526.50080       0.11966568E-01  -0.33862417E-02  -0.10972770E-01
  526.60040       0.13648642E-01  -0.13579722E-02  -0.93982559E-02
  526.70010       0.15270065E-01   0.26805681E-02  -0.73088919E-02
  526.79980       0.17552060E-01   0.53010119E-02  -0.70741572E-02
  526.89950       0.17905212E-01   0.64039927E-02  -0.27039360E-02
  527.00000       0.22476269E-01   0.82618432E-02   0.23666822E-03
  527.09980       0.24342397E-01   0.12904102E-01   0.45169830E-02
  527.20030       0.30058921E-01   0.21433343E-01   0.72305992E-02
  527.30010       0.31999248E-01   0.23789854E-01   0.10409151E-01
  527.40080       0.33159380E-01   0.26430225E-01   0.14637120E-01
  527.49960       0.36264562E-01   0.29317053E-01   0.17859494E-01
  527.60030       0.39409561E-01   0.31542057E-01   0.23358829E-01
  527.70000       0.40832864E-01   0.32344320E-01   0.24302220E-01
  527.79990       0.43074899E-01   0.31437565E-01   0.26020526E-01
  527.89970       0.42466549E-01   0.28906110E-01   0.30067779E-01
  528.00050       0.42059411E-01   0.32675505E-01   0.30086001E-01
  528.10030       0.41049467E-01   0.33003446E-01   0.30557475E-01
  528.20010       0.39250752E-01   0.31628902E-01   0.30322519E-01
  528.29990       0.37719438E-01   0.30330199E-01   0.28887542E-01
  528.39980       0.35718930E-01   0.30186962E-01   0.30468859E-01
  528.49970       0.33233843E-01   0.28038586E-01   0.28499597E-01
  528.60040       0.32916998E-01   0.27494823E-01   0.28902783E-01
